"CODIGO","NOMBRE","CODIGO LOCALIDAD","LOCALIDAD","CODIGO UPZ","UPZ"
"001101","LAS BRISAS","4","SAN CRISTÓBAL","33","SOSIEGO"
"001102","BUENOS AIRES","4","SAN CRISTÓBAL","33","SOSIEGO"
"001103","VITELMA","4","SAN CRISTÓBAL","32","SAN BLAS"
"001106","SAN BLAS","4","SAN CRISTÓBAL","32","SAN BLAS"
"001107","LAS MERCEDES","4","SAN CRISTÓBAL","32","SAN BLAS"
"001108","SAN CRISTOBAL SUR","4","SAN CRISTÓBAL","32","SAN BLAS"
"001109","LA MARIA","4","SAN CRISTÓBAL","33","SOSIEGO"
"001110","SAN JAVIER","4","SAN CRISTÓBAL","33","SOSIEGO"
"001111","SANTA ANA SUR","4","SAN CRISTÓBAL","33","SOSIEGO"
"001112","PRIMERO DE MAYO","4","SAN CRISTÓBAL","33","SOSIEGO"
"001113","SAN BLAS II","4","SAN CRISTÓBAL","32","SAN BLAS"
"001114","VELODROMO","4","SAN CRISTÓBAL","33","SOSIEGO"
"001115","MONTE CARLO","4","SAN CRISTÓBAL","32","SAN BLAS"
"001116","TIBAQUE URBANO","4","SAN CRISTÓBAL","32","SAN BLAS"
"001201","SEVILLA","15","ANTONIO NARIÑO","35","CIUDAD JARDIN"
"001202","CIUDAD BERNA","15","ANTONIO NARIÑO","35","CIUDAD JARDIN"
"001203","CARACAS","15","ANTONIO NARIÑO","35","CIUDAD JARDIN"
"001204","CIUDAD JARDIN SUR","15","ANTONIO NARIÑO","35","CIUDAD JARDIN"
"001205","SOCIEGO","4","SAN CRISTÓBAL","33","SOSIEGO"
"001206","QUINTA RAMOS","4","SAN CRISTÓBAL","33","SOSIEGO"
"001207","NARINO SUR","4","SAN CRISTÓBAL","33","SOSIEGO"
"001208","LA HORTUA","15","ANTONIO NARIÑO","35","CIUDAD JARDIN"
"001209","MODELO SUR","4","SAN CRISTÓBAL","33","SOSIEGO"
"001210","CALVO SUR","4","SAN CRISTÓBAL","33","SOSIEGO"
"001211","POLICARPA","15","ANTONIO NARIÑO","35","CIUDAD JARDIN"
"001301","GRANADA SUR","4","SAN CRISTÓBAL","34","20 DE JULIO"
